AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,
1,,0,,,,,,,,,
2,,,0,,,,,,,,
3,,,2,,,,,,,,
4,,,3,,,,,,,,
5,,,4,,,,,,,,
6,,,5,,,,,,,,
7,,,6,,,,,,,,
8,,,7,,,,,,,,
9,,,8,,,,,,,,
10,,,9,,,,,,,,
11,,,10,,,,,,,,
12,,,11,,,,,,,,
13,,,12,,,,,,,,
14,,,13,,,,,,,,
15,,,14,,,,,,,,
16,,,15,,,,,,,,
17,,,16,,,,,,,,
18,,,17,,,,,,,,
19,,,18,,,,,,,,
20,,,19,,,,,,,,
21,,,20,,,,,,,,
22,,,21,,,,,,,,
23,,,22,,,,,,,,
24,,,23,,,,,,,,
25,,,24,,,,,,,,
26,,,25,,,,,,,,
27,,,26,,,,,,,,
28,,,27,,,,,,,,
29,,,28,,,,,,,,
30,,,29,,,,,,,,
31,,,33,,,,,,,,
32,,,34,,,,,,,,
33,,,35,,,,,,,,
34,,,36,,,,,,,,
35,,,37,,,,,,,,
36,,,38,,,,,,,,
37,,,39,,,,,,,,
38,,,40,,,,,,,,
39,,,41,,,,,,,,
40,,,42,,,,,,,,
41,,,43,,,,,,,,
42,,,44,,,,,,,,
43,,,45,,,,,,,,
44,,,46,,,,,,,,
45,,,47,,,,,,,,
46,,,48,,,,,,,,
47,,,50,,,,,,,,
48,,,51,,,,,,,,
49,,,52,,,,,,,,
50,,,53,,,,,,,,
51,,,54,,,,,,,,
52,,,55,,,,,,,,
53,,,56,,,,,,,,
54,,,57,,,,,,,,
55,,,58,,,,,,,,
56,,,59,,,,,,,,
57,,,60,,,,,,,,
58,,,61,,,,,,,,
59,,,62,,,,,,,,
60,,,63,,,,,,,,
61,,,64,,,,,,,,
62,,,65,,,,,,,,
63,,,66,,,,,,,,
64,,,67,,,,,,,,
65,,,68,,,,,,,,
66,,,69,,,,,,,,
67,,,70,,,,,,,,
68,,,71,,,,,,,,
69,,,72,,,,,,,,
70,,,73,,,,,,,,
71,,,74,,,,,,,,
72,,,75,,,,,,,,
73,,,76,,,,,,,,
74,,,101,,,,,,,,
75,,,102,,,,,,,,
76,,,,0,,,,,,,
77,,,,1,,,,,,,
78,,,,2,,,,,,,
79,,,,3,,,,,,,
80,,,,4,,,,,,,
81,,,,5,,,,,,,
82,,,,6,,,,,,,
83,,,,7,,,,,,,
84,,,,10,,,,,,,
85,,,,14,,,,,,,
86,,,,,0,,,,,,
87,,,,,1,,,,,,
88,,,,,,3,,,,,
89,,,,,,4,,,,,
90,,,,,,5,,,,,
91,,,,,,6,,,,,
92,,,,,,7,,,,,
93,,,,,,8,,,,,
94,,,,,,9,,,,,
95,,,,,,10,,,,,
96,,,,,,11,,,,,
97,,,,,,12,,,,,
98,,,,,,13,,,,,
99,,,,,,14,,,,,
100,,,,,,15,,,,,
101,,,,,,16,,,,,
102,,,,,,21,,,,,
103,,,,,,,0,,,,
104,,,,,,,1,,,,
105,,,,,,,3,,,,
106,,,,,,,9,,,,
107,,,,,,,,1,,,
108,,,,,,,,2,,,
109,,,,,,,,3,,,
110,,,,,,,,,0,,
111,,,,,,,,,1,,
112,,,,,,,,,2,,
113,,,,,,,,,3,,
114,,,,,,,,,,14,
115,,,,,,,,,,23,
116,,,,,,,,,,,1
