NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id
"W. S. Lima","LIMA, W. S.","1","",0,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",0,,,,
"A. V. Fracaro","FRACARO, A. V.","1","",1,,,,
"A. A. Carmo","CARMO, A. A.","2","",1,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",1,,,,
"W. L. Silva","SILVA, W. L.","1","",2,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",2,,,,
"R. Cechetti","CECHETTI, R.","1","",3,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",3,,,,
"A. C. V. S. Pinto","PINTO, A. C. V. S.","3","",3,,,,
"T. Bulcão","BULCÃO, T.","4","",3,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",4,,,,
"S. Soares","SOARES, S.","2","",4,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","3","2013445187247691",4,,,,
"Adriano Silva","SILVA, A.","1","",5,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",5,,,,
"Felipe Provençano","PROVENÇANO, F.","1","",6,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",6,,,,
"Alvaro Oliveira","OLIVEIRA, A.","1","",7,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",7,,,,
"Wagner da Silva Lima","LIMA, Wagner da Silva","1","",8,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",8,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",9,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",9,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",10,,,,
"Wagner da Silva Lima","LIMA, Wagner da Silva","2","",10,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",11,,,,
"A. V. Fracaro","FRACARO, A. V.","2","",11,,,,
"A. A. Carmo","CARMO, A. A.","3","",11,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",12,,,,
"A. V. Fracaro","FRACARO, A. V.","2","",12,,,,
"A. A. Carmo","CARMO, A. A.","3","",12,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",13,,,,
"A. A. Carmo","CARMO, A. A.","2","",13,,,,
