NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","O Planejamento Energético Ótimo de Médio Prazo com Representação das Usinas Hidrelétricas","2006","Brasil","Português","","","",0
"Doutorado","Despacho Integrado da Geração Termelétrica e da Produção e Transmissão de Gás Natural","2006","Brasil","Português","","","",1
"Doutorado","Uma Política Operativa a Usinas Individualizadas para o Planejamento da Operação Energética do Sistema Interligado Nacional","2006","Brasil","Português","","","",2
"Doutorado","Previsão de Vazões Afluentes Vários Passos à Frente Via Agregação de Vazões para o Planejamento Energético da Operação de Sistemas Hidrotérmicos de Potência","2005","Brasil","Português","","","",3
"Doutorado","Algoritmos Bio-Inspirados para Minimização do Makespan do Problema de Escalonamento de Produção","2011","Brasil","Português","","","",4
"Doutorado","Decomposição de Dantzig-Wolfe e Heurística Aplicados a Problemas de Fluxo Multiproduto Fuzzy","2011","Brasil","Português","","","",5
"Doutorado","Modelo de Programação da Operação de Sistemas Hidrotérmicos Predominantemente Hidrelétricos","2012","Brasil","Português","","","",6
"Doutorado","Uma Metodologia Baseada em Algoritmos Genéticos para Melhorar o perfil de Tensão Diário de Sistemas de Potência","2012","Brasil","Português","","","",7
"Doutorado","Alocação e Operação de Controladores FACTS em Sistemas E- létricos de Potência","2010","Brasil","Português","","","",8
"Doutorado","Contribuição para a Otimização de Turbinas em Usinas Hidre-létricas: Especificação e Operação","2011","Brasil","Português","","","",9
"Doutorado","IMPACTOS DO DESEMPENHO DAS EMENDAS DE CABOS DE LINHAS DE TRANSMISSÃO NA CONFIABILIDADE DE REDES ELÉTRICAS","2011","Brasil","Português","","","",10
"Doutorado","Sistema de suporte a decisão para analise e previsão de carga por barramento","2009","Brasil","Português","","","",11
"Doutorado","Influencia do calculo da ampacidade no despacho da operação","2006","Brasil","Português","","","",12
"Doutorado","Um modelo de despacho e pré-despacho de retaivas através de algoritmos genéticos, fluxo de potência ótimo e busca tabu","2013","Brasil","Português","","","",13
