NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Um Modelo Para Planejamento da Operacao de Curto Prazo de Sistemas Hidrotermicos Via Metodo da Continuacao","1994","Brasil","Português","","NAO","","",0
"Dissertação de mestrado","ACADEMICO","Um Modelo Para Planejamento da Operacao de Curto Prazo Com Restricoes de Seguranca","1994","Brasil","Português","","NAO","","",1
"Dissertação de mestrado","ACADEMICO","Especificacao e Implementacao de Um Sistema de Apoio A Decisao Para Planejamento da Operacao de Curto Prazo de Sistemas Hidrotermicos","1993","Brasil","Português","","NAO","","",2
"Dissertação de mestrado","ACADEMICO","Aplicação de Redes Neurais Articificiais Para Previsão de Carga No Período de Demanda de Ponta","1996","Brasil","Português","","NAO","","",3
"Dissertação de mestrado","ACADEMICO","Um modelo de otimização do despacho de máquinas em usinas hidrelétricas","1996","Brasil","Português","","NAO","","",4
"Dissertação de mestrado","ACADEMICO","Modelos de Pré-Despacho Para Sistemas de Energia Elétrica Desregulamentados","1998","Brasil","Português","","NAO","","",5
"Dissertação de mestrado","ACADEMICO","Um modelo de pré-despacho com margem de estabilidade de tensão","2001","Brasil","Português","","SIM","","",6
"Dissertação de mestrado","ACADEMICO","Otimização do transporte em oleodutos utilizando algoritomos genéticos e programação lienear","1999","Brasil","Português","","NAO","","",7
"Dissertação de mestrado","ACADEMICO","Um Medolo de Pré-Despacho com Gerenciamento de Congestionamento","2001","Brasil","Português","","NAO","","",8
"Dissertação de mestrado","ACADEMICO","Uma Metodologia de Cálculo do Spot Price com Restrições de Segurança","2002","Brasil","Português","","NAO","","",9
"Dissertação de mestrado","ACADEMICO","Despacho Econômico em Usinas Hidrelétricas","2003","Brasil","Português","","NAO","","",10
"Dissertação de mestrado","ACADEMICO","Um Modelo de Previsão de Carga por Barramento","2004","Brasil","Português","","NAO","","",11
"Dissertação de mestrado","ACADEMICO","UM MODELO DE FLUXO DE POTÊNCIA ÓTIMO LINEAR COM REPROGRAMAÇÃO CORRETIVA VIA MÉTODO DE PONTOS INTERIORES","2004","Brasil","Português","","NAO","","",12
"Dissertação de mestrado","ACADEMICO","Um Modelo de Pré-despacho de Usinas Hidrelétricas usando Algoritmos Genéticos","2001","Brasil","Português","","NAO","","",13
"Dissertação de mestrado","ACADEMICO","Previsão de Carga de Curto Prazo Usando Ensembles de Previsores Selecionados e Evoluídos por Algoritmos Genéticos","2006","Brasil","Português","","NAO","","",14
"Dissertação de mestrado","ACADEMICO","Despacho Integrado da Geração Termelétrica e da Produção e Transporte de Gás Natural com Método de Newton","2009","Brasil","Português","","NAO","","",15
"Dissertação de mestrado","ACADEMICO","Uma Ferramenta de Programação Visual para Previsão e Reconhecimento de Padrões","2007","Brasil","Português","","NAO","","",16
"Dissertação de mestrado","ACADEMICO","Detecção e Otimização da Produção Bruta de Óleo em Poços com Elevação Artificial GLI","2012","Brasil","Português","","NAO","","",17
"Dissertação de mestrado","ACADEMICO","Um modelo de simulação da dinâmica de dispersão do Huanglongbing (HLB) em um pomar de citros","2012","Brasil","Português","","NAO","","",18
"Dissertação de mestrado","ACADEMICO","Um modelo para previsão de carga crítica","2012","Brasil","Português","","NAO","","",19
"Dissertação de mestrado","ACADEMICO","Um Estudo de Caso para a Previsão de Carga de Médio e Longo Prazo Brasileira","2015","Brasil","Português","","NAO","","",20
"Dissertação de mestrado","ACADEMICO","Um Modelo de Despacho Econômico de Reserva Operativa","2004","Brasil","Português","","NAO","","",21
