TIPO-DE-ORIENTACAO,NOME-DO-ORIENTADO,CODIGO-INSTITUICAO,NOME-DA-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-DO-CURSO,FLAG-BOLSA,CODIGO-AGENCIA-FINANCIADORA,NOME-DA-AGENCIA,NUMERO-DE-PAGINAS,NUMERO-ID-ORIENTADO,NOME-DO-CURSO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"ORIENTADOR_PRINCIPAL","Frederico Silva Moreira","007900000004","Universidade Estadual de Campinas","","","33070210","Engenharia Elétrica","NAO","","","159","1796056327338958","Electric Engineering",0
"ORIENTADOR_PRINCIPAL","Oderson Dias de Mello","007900000004","Universidade Estadual de Campinas","","","33070210","Engenharia Elétrica","SIM","002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","107","7155396524397510","Electric Engineering",1
"ORIENTADOR_PRINCIPAL","Ricardo Menezes Salgado","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","SIM","037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","","8918198224706238","Engineering",2
"ORIENTADOR_PRINCIPAL","Sonia Angelina Garcia Modesto","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","NAO","","","","4456563111011882","Engineering",3
"ORIENTADOR_PRINCIPAL","Makoto Kadowaki","007900000004","Universidade Estadual de Campinas","","","60046295","Doutorado em Engenharia Elétrica - UNICAMP","NAO","","","","","Engineering",4
"ORIENTADOR_PRINCIPAL","Marcos de Almeida Leone Filho","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","7885946470081342","Engineering",5
"ORIENTADOR_PRINCIPAL","Ana Paula Milanez","007900000004","Universidade Estadual de Campinas","","","60034394","Doutorado em Engenharia Elétrica","NAO","","","","2698641500695827","Engineering",6
"ORIENTADOR_PRINCIPAL","Ana Claudia Vasconcelos Soares Bulcão","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","","","90000008","Doutorado em Engenharia Elétrica","SIM","","","","","",7
"ORIENTADOR_PRINCIPAL","Mateus Neves Barreto","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","","","90000008","Doutorado em Engenharia Elétrica","NAO","","","","","",8
"ORIENTADOR_PRINCIPAL","Cynara Mendonça Tinoco Moreira","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","","","90000008","Doutorado em Engenharia Elétrica","NAO","","","","","",9
"ORIENTADOR_PRINCIPAL","Elma Pereira Santos","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","","","90000008","Doutorado em Engenharia Elétrica","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","2510480813573384","",10
