PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Sistemas de energia eletrica,","Produção","Algoritmos","Otimizacao","","",0,,,,,,,,,,,
"Planejamento","Curto Prazo","Sistemas Hidrotérmicos","","","",,0,,,,,,,,,,
"Previsao de Carga","Redes Neurais Artificiais","","","","",,,0,,,,,,,,,
"Analise de Contingencia","Pre-Despacho","","","","",,,1,,,,,,,,,
"Demanda de Carga","Previsao de Carga","","","","",,,2,,,,,,,,,
"Banco de Dados","Sistemas de Suporte A Decisao","","","","",,,3,,,,,,,,,
"Transporte em Oleodutos","Algoritmos Geneticos","Otimizacao","","","",,,16,,,,,,,,,
"Fluxo de Carga Otimo","Algoritmos Geneticos","Otimizacao","Sistemas de Potencia","","",,,17,,,,,,,,,
"Spot Price","Pre-Despacho","Sistemas de Potencia","Otimizacao","","",,,18,,,,,,,,,
"Despacho econômico","Transporte de Gás Natural","","","","",,,19,,,,,,,,,
"Despacho econômico","Pre-Despacho","Usinas Hidrelétricas","Hydro Unit Commitment","","",,,20,,,,,,,,,
"Despacho econômico","Hydro Unit Commitment","Usinas Hidrelétricas","","","",,,21,,,,,,,,,
"Previsao de Carga","Redes Neuro-Fuzzy","Redes Neurais Artificiais","","","",,,22,,,,,,,,,
"Algoritmos Geneticos","Despacho econômico","Hydro Unit Commitment","Pre-Despacho","","",,,23,,,,,,,,,
"Stowage plan","Algoritmos Geneticos","","","","",,,101,,,,,,,,,
"Pre-Despacho","Otimizacao","Sistemas de Potencia","","","",,,102,,,,,,,,,
"Pre-Despacho","Programacao da Operacao","","","","",,,,1,,,,,,,,
"Pre-Despacho","Programacao da Producao","","","","",,,,2,,,,,,,,
"Pre-Despacho","Programacao da Operacao","Sistemas de Potencia","","","",,,,3,,,,,,,,
"Algoritmos Geneticos","fluxo de potência","operação de sistemas de potência","sistemas de tempo real","segurança","power transformers",,,,10,,,,,,,,
"Pre-Despacho","Programação Dinâmica","Sistemas de Potencia","","","",,,,14,,,,,,,,
"Reconhecimento Padroes","Two phase flows","Redes Neurais Artificiais","Imbedded system","","",,,,,0,,,,,,,
"Pre-Despacho","Otimizacao","Programacao da Producao","","","",,,,,,0,,,,,,
"Demanda de Carga","Previsao de Carga","Redes Neuro-Fuzzy","","","",,,,,,1,,,,,,
"Previsao de Carga","Redes Nerais Artificiais","","","","",,,,,,,3,,,,,
"Pre-Despacho","","","","","",,,,,,,4,,,,,
"Pre-Despacho","Sistemas de Energia Desregulamentados","","","","",,,,,,,5,,,,,
"Pre-Despacho","Programacao da Operacao","Margem de Estabilidade de Tensão","","","",,,,,,,6,,,,,
"Transporte em Oleodutos","","","","","",,,,,,,7,,,,,
"Spot Price","Pre-Despacho","Sistemas de Potencia","Otimizacao","","",,,,,,,8,,,,,
"Spot Price","Sistemas de Potencia","Pre-Despacho","Otimizacao","","",,,,,,,9,,,,,
"Pre-Despacho","Otimizacao","Sistemas de Potencia","","","",,,,,,,10,,,,,
"Previsao de Carga","Redes Nerais Artificiais","Redes Neuro-Fuzzy","","","",,,,,,,11,,,,,
"Despacho econômico","Fluxo de Carga Otimo","Analise de Contingencia","","","",,,,,,,12,,,,,
"Algoritmos Geneticos","Despacho econômico","Hydro Unit Commitment","Pre-Despacho","","",,,,,,,13,,,,,
"Energia Elétrica","Otimização Matemática","","","","",,,,,,,15,,,,,
"Programacao Visual","Reconhecimento Padroes","Previsao padrao","","","",,,,,,,16,,,,,
"Despacho econômico","Fluxo de Carga Dc","Fluxo de Carga Otimo","Reserva Operativa","","",,,,,,,21,,,,,
"Energia Elétrica","Transmissão","Meteorologia","Sistema de Energia Elétrica","Otimização Matemática","",,,,,,,,0,,,,
"Despacho Termelétrico","Transmissão de Gás Natural","Otimização","","","",,,,,,,,1,,,,
"Redes Neurais","Sistema de Energia Elétrica","Analise Series Temporais","","","",,,,,,,,2,,,,
"Otimizacao","Planejamento","Produção de Laticícios","","","",,,,,,,,9,,,,
"Programação Dinâmica","Planejamento da Operacao","","","","",,,,,,,,,1,,,
"Estratégias Evolutivas","Sistemas Hidrotérmicos","","","","",,,,,,,,,2,,,
"Planejamento da Operacao","","","","","",,,,,,,,,3,,,
"Transmissão de Gás Natural","","","","","",,,,,,,,,,1,,
"Planejamento da Operacao","","","","","",,,,,,,,,,2,,
"Previsão de Vazões","Planejamento Energético","Sistemas Hidrotérmicos","","","",,,,,,,,,,3,,
"Fluxo de Carga Otimo","Despacho econômico","Otimizacao","","","",,,,,,,,,,,14,
"Despacho econômico","Algoritmos Geneticos","","","","",,,,,,,,,,,23,
"Produção de Laticícios","Planejamento","","","","",,,,,,,,,,,,1
