SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Energia","","",0,,,,,,,,
"Energia","","",2,,,,,,,,
"Energia","","",3,,,,,,,,
"Energia","","",4,,,,,,,,
"Energia","","",5,,,,,,,,
"Energia","","",6,,,,,,,,
"Energia","","",7,,,,,,,,
"Energia","","",8,,,,,,,,
"Energia","","",9,,,,,,,,
"Energia","","",10,,,,,,,,
"Energia","","",11,,,,,,,,
"Energia","","",12,,,,,,,,
"Energia","","",13,,,,,,,,
"Energia","","",14,,,,,,,,
"Energia","","",15,,,,,,,,
"Extração de Petróleo e Serviços Correlatos","","",16,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",17,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",18,,,,,,,,
"Produção e Distribuição de Eletricidade e Gás","","",20,,,,,,,,
"Produção e Distribuição de Eletricidade e Gás","","",21,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",23,,,,,,,,
"Armazenamento e atividades auxiliares dos transportes","Transporte aquaviário","",101,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",102,,,,,,,,
"Energia","","",,0,,,,,,,
"Energia","","",,1,,,,,,,
"Energia","","",,2,,,,,,,
"Energia","","",,3,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,14,,,,,,,
"Energia","","",,,0,,,,,,
"Energia","","",,,1,,,,,,
"Energia","","",,,,3,,,,,
"Energia","","",,,,4,,,,,
"Energia","","",,,,5,,,,,
"Energia","","",,,,6,,,,,
"Logística de Transporte, Armazenagem e Comunicações","Energia","",,,,7,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,8,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,9,,,,,
"Produção e Distribuição de Eletricidade e Gás","","",,,,11,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,12,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,13,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,21,,,,,
"Energia","","",,,,,0,,,,
"Agricultura, Pecuária e Serviços Relacionados","Alimentação","Fabricação de Produtos Alimentícios",,,,,9,,,,
"Energia","","",,,,,,1,,,
"Energia","","",,,,,,2,,,
"Energia","","",,,,,,3,,,
"Energia","","",,,,,,,1,,
"Energia","","",,,,,,,2,,
"Energia","","",,,,,,,3,,
"Produção e Distribuição de Energia Elétrica","","",,,,,,,,14,
"Produção e Distribuição de Energia Elétrica","","",,,,,,,,23,
"Fabricação de Produtos Alimentícios","","",,,,,,,,,1
