NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
NULL,NAO_INFORMADO,Síntese de Substâncias Farmacológicas Bioativas
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Enzimas em síntese assimétrica
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Instituto de Química - UNICAMP,BOLSA,Obtenção de uma lipase termoestável por Evolução Dirigida
Fundação de Desenvolvimento da UNICAMP,AUXILIO_FINANCEIRO,Obtenção de uma lipase termoestável por Evolução Dirigida
Universidade Estadual de Campinas,BOLSA,Evolução Dirigida de Enzimas
Fundação de Desenvolvimento da UNICAMP,AUXILIO_FINANCEIRO,Evolução Dirigida de Enzimas
International Foundation for Science,AUXILIO_FINANCEIRO,Searching for Potential Antibiotic Factories in Actinomycetes (Streptomycetes) Isolated from Brazilian Territory
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Evolução Dirigida de Enzimas
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Explorando a Biodiversidade Brasileira para a obtenção de Policetídeos Macrolídicos Complexos
Petróleo Brasileiro - Rio de Janeiro - Matriz,AUXILIO_FINANCEIRO,Obtenção de Lipases Termoestáveis por Evolução Dirigida
Instituto Uniemp/Braskem/Fapesp,AUXILIO_FINANCEIRO,Convênio de Cooperação Técnico-Científica Braskem/UNICAMP
