NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
"Artigo em destaque no site da American Chemical Society, como um dos mais acessados do Journal of Organic Chemistry em 2005. http://pubs.acs.org/journals/joceah/promo/most_accessed/2005q12.html",ACS,2005
Aprovada em primeiro lugar em concurso público na área de Biotecnologia no Instituto de Biologia-UNICAMP,Instituto de Biologia - UNICAMP,2007
Aprovada em segundo lugar em concurso público na área de Produtos Naturais no Instituto de Química-UNICAMP,Instituto de Química - UNICAMP,2007
Bolsa-Auxílio (Grant) L'Oreal Brasil para as Mulheres na Ciência,L'Oreal Brasil / ABC / UNESCO,2008
Participante do 2009 - 59th Meeting of Nobel Laureates (Dedicated to Chemistry),Lindau Council (Council for the Lindau Nobel Laureate Meetings),2009
Mérito Científico,PRP/UNICAMP - XXII Congresso de Iniciação Científica da UNICAMP,2014
Certificate of Commendation - 2nd Meeting of the Brazilian Proteomics Society,Brazilian Proteomics Society,2014
Inside Cover: Site-Specific Modification of the Anticancer and Antituberculosis Polyether Salinomycin by Biosynthetic Engineering,ChemBioChem - A European Journal of Chemical Biology,2014
Participante do HUMBOLDT COLLOQUIUM - ?Research Excellence in a Globalised World ? Experiences and Challenges from a Brazilian-German Perspective,Alexander von Humboldt Foundation,2015
Promoção por Mérito Professor MS3-2,Unicamp,2015
