SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Six-phase transmission line-propagation characteristics and new three-phase representation,1993
COMPLETO,Influencia da Transmissao Em Alta Tensao Em Cc Em Sistemas de Telecomunicacoes (Em Alemao),1989
COMPLETO,Mode domain multiphase transmission line model-use in transient studies,1999
COMPLETO,Quasi-modes multiphase transmission line model,1999
COMPLETO,New multiphase mode domain transmission line model,1999
COMPLETO,Quasi-modes three-phase transmission line model-transformation matrix equations,2001
COMPLETO,Quasi-modes three-phase transmission line model - comparison with existing frequency dependent models,2000
COMPLETO,Alto desempenho na proteção diferencial de transformadores de potência com a utilização de redes neurais artificiais,2003
COMPLETO,Transient Analysis Concerning Capacitor Bank Switching in a Distribution System,2002
COMPLETO,Transmission System Parameters Optimization&amp;#8212; Sensitivity Analysis of Secondary Arc Current and Recovery Voltage,2004
COMPLETO,Accurate representation of soil behaviour for transient studies,2003
COMPLETO,Proposing a new methodology to optimize transient study of a transmission system,2004
COMPLETO,Behavior of Overhead Transmission Line Parameters on the Presence of Ground Wires,2005
COMPLETO,A New Procedure to Derive Transmission-Line Parameters: Applications and Restrictions,2006
COMPLETO,Earth conductivity and permittivity data measurements: Influence in transmission line transient performance,2006
COMPLETO,Avaliação de Transitórios devido ao Chaveamento de Bancos de Capacitores em um Sistema de Distribuição da CPFL,2005
COMPLETO,Comparative analysis of techniques for control of switching overvoltages during transmission lines energization?,2010
COMPLETO,Redução das correntes de arco secundário em sistemas de transmissão típicos,2009
COMPLETO,Análise de sensibilidade de parâmetros elétricos de linhas de transmissão dependentes na freqüência,2009
COMPLETO,Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único,2011
COMPLETO,Relevant Factors to a Statistical Analysis of Overvoltages - Application to Three-Phase Reclosing of Compensated Transmission Lines,2013
COMPLETO,Energization of a Half-Wavelength Transmission Line - Pre-Operational Transients Studies,2013
COMPLETO,Protection Scheme Half Wavelength Transmission Trunk Using Conventional Relay,2013
COMPLETO,Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor-Compensated Transmission Lines,2011
COMPLETO,Visual evaluation of the length of artificially generated electrical discharges by 3D-snakes,2011
COMPLETO,Voltage harmonic content of long artificially generated electrical arc in out-door experiment at 500 kV towers,2014
COMPLETO,Relevant Parameters in a Statistical Analysis&#x2014;Application to Transmission-Line Energization,2014
COMPLETO,Enhanced analysis of oscillatory undamped overvoltages in transformer energization,2016
COMPLETO,Energization simulations of a half-wavelength transmission line when subject to three-phase faults-Application to a field test situation,2016
COMPLETO,A commercial relay model for the RTDS validated against the actual relay,2016
COMPLETO,Comparison between traditional single-phase auto reclosing and adaptive technique based on harmonic content measurement,2016
COMPLETO,Implementation and Performance Evaluation of a Harmonic Filter for Use in Adaptive Single-Phase Reclosing,2017
COMPLETO,Faulted Phase Selection for Half-Wavelength Power Transmission Lines,2017
COMPLETO,Single-Phase Auto Reclosing Mitigation Procedure for Half Wavelength Transmission Line,2017
COMPLETO,Comparison of secondary arcs for reclosing applications,2017
COMPLETO,Methodology for optimizing the capacity and costs of overhead transmission lines by modifying their bundle geometry,2017
COMPLETO,Technical and economic comparison between direct current and half-wavelength transmission systems for very long distances,2017
NAO_INFORMADO,Micro-loads electrification: Use of insulated shielding wires of a 500 kV transmission line,2017
