NOME,TIPO_ENSINO,NOME_CURSO,NOME_INSTITUICAO,FLAG_PERIODO,MES_INICIO,ANO_INICIO,MES_FIM,ANO_FIM
Sobretensões em Sistema de Energia Elétrica,POS-GRADUACAO,Engenharia Elétrica,Universidade Estadual de Campinas,ATUAL,3,2003,NULL,NULL
Tópicos Especiais Em Linhas De Transmissão,POS-GRADUACAO,Engenharia Elétrica,Universidade Estadual de Campinas,ATUAL,3,2003,NULL,NULL
Uso do ATP em Sistemas Elétricos de Potência,POS-GRADUACAO,Engenharia Elétrica,Universidade Estadual de Campinas,ATUAL,3,2003,NULL,NULL
Circuitos Elétricos I,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
Eletrônica Industrial,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
Laboratório de Eletrotécnica,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
Laboratório de Linhas e Filtros,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
Laboratório de Ondas Guiadas,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
Eletrotécnica,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
Sistemas de Energia Elétrica I,GRADUACAO,Faculdade de Engenharia Elétrica e de Computação,Universidade Estadual de Campinas,ATUAL,8,2002,NULL,NULL
uso do ATP,ESPECIALIZACAO,departamento de engenharia elétrica,Universidade de São Carlos Escola de Engenharia de São Carlos,ANTERIOR,2,1996,6,1998
uso do ATP na proteção de sistema elétrico de potência,ESPECIALIZACAO,departamento de engenharia elétrica,Universidade de São Carlos Escola de Engenharia de São Carlos,ANTERIOR,2,1996,6,1998
